M2,Banyo,Bina_Yasi,Balkon,Asansor,Garaj,Takas,Eşya Durumu,Fiyat,oda_sayisi,salon_sayisi,Kat,Isinma,yapi_durumu,Kullanim_Boş,Kullanim_Kiracılı,Kullanim_Mülk Sahibi,tapu_durumu,Ilce_Akhisar,Ilce_Alasehir,Ilce_Demirci,Ilce_Gordes,Ilce_Kirkagac,Ilce_Koprubasi,Ilce_Kula,Ilce_Salihli,Ilce_Sarigol,Ilce_Saruhanli,Ilce_Sehzadeler,Ilce_Selendi,Ilce_Soma,Ilce_Turgutlu,Ilce_Yunusemre
120,1,7,1,1,0,0,0,3500000.0,3,1,3.0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
85,1,31,0,0,0,0,0,2150000.0,2,1,4.0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
165,1,21,0,0,0,0,0,3850000.0,3,1,1.0,3,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1,6,0,1,0,0,0,3500000.0,3,1,3.0,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,1,5,1,1,0,1,0,3500000.0,2,1,0.5,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
145,1,17,0,1,1,0,0,3550000.0,3,1,3.0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
130,1,6,1,1,0,0,0,4600000.0,3,1,2.0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
47,1,0,0,0,0,0,0,1700000.0,1,1,2.0,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
107,1,0,0,1,1,1,0,3100000.0,2,1,2.0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
130,1,4,0,0,1,1,0,4200000.0,4,1,0.0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
120,1,15,0,0,0,0,0,2400000.0,2,1,1.0,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,1,16,1,1,0,1,0,4750000.0,3,1,2.0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
135,1,21,0,0,0,1,0,3295000.0,3,1,2.0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
110,1,16,1,1,1,0,0,3375000.0,2,1,4.0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
