Baslik,Fiyat,Il,Ilce,Mahalle,Konum,Oda,M2,Banyo,Kat,Bina_Yasi,Isinma,Balkon,Asansor,Garaj,Yapı Durumu,Kullanım Durumu,Tapu Durumu,Cephe,Yön,Aidat,Krediye Uygun,Takas,Site İçinde,Güvenlik,Eşya Durumu,İlan Durumu,Ilan_No,Ilan_Tarihi,Link,Cekilme_Tarihi
ALAŞEHİR YENİCE MH DE ARA KAT SATILIK GAR KARŞISINDA DAİRE,3.500.000 TL,Manisa,Alasehir,Yenice Mah.,Manisa / Alasehir / Yenice Mah.,3 + 1,120,1,3. Kat,7 Yaşında,Merkezi,Var,Var,Yok,İkinci El,Boş,Kat İrtifakı,-,etin,-,...,-,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,160695-51,02-12-2025,https://www.hepsiemlak.com/manisa-alasehir-yenice-satilik/daire/160695-51,2025-12-02 15:02:13
Yatırımlık fırsat daire,2.150.000 TL,Manisa,Turgutlu,Istiklal Mah.,Manisa / Turgutlu / Istiklal Mah.,2 + 1,85,1,4. Kat,31 Yaşında,Isıtma Yok,Yok,Yok,Yok,-,Boş,Kat Mülkiyeti,"Güney, Batı",etin,-,...,Hayır,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,164247-104,02-12-2025,https://www.hepsiemlak.com/manisa-turgutlu-istiklal-satilik/daire/164247-104,2025-12-02 15:02:37
MUSTAFA BAŞYİĞİT EMLAK'TAN SATILIK DAİRE TAHİR ÜN CADDESİNDE,3.850.000 TL,Manisa,Akhisar,Pasa Mah.,Manisa / Akhisar / Pasa Mah.,3 + 1,165,1,1. Kat,21 Yaşında,Kombi,Yok,Yok,Yok,-,Boş,Kat Mülkiyeti,-,etin,-,...,Hayır,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,162406-244,02-12-2025,https://www.hepsiemlak.com/manisa-akhisar-pasa-satilik/daire/162406-244,2025-12-02 15:02:59
Ragıpbey'de 150 m² 3+1 Doğalgazlı ve Asansörlü Geniş Daire,3.500.000 TL,Manisa,Akhisar,Ragip Mah.,Manisa / Akhisar / Ragip Mah.,3 + 1,150,1,3. Kat,6 Yaşında,Kombi,Yok,Var,Yok,-,Boş,Kat İrtifakı,"Doğu, Batı",etin,-,...,Hayır,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,86919-650,02-12-2025,https://www.hepsiemlak.com/manisa-akhisar-ragip-bey-satilik/daire/86919-650,2025-12-02 15:03:24
Muradiye Merkezi konum 2+1 Bahçeli Yüksek Zemin,3.500.000 TL,Manisa,Yunusemre,Muradiye Mah.,Manisa / Yunusemre / Muradiye Mah.,2 + 1,110,1,Yüksek Giriş,5 Yaşında,Kombi,Var,Var,Yok,-,Boş,Kat Mülkiyeti,-,etin,-,...,Evet,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,163278-68,02-12-2025,https://www.hepsiemlak.com/manisa-yunusemre-muradiye-satilik/daire/163278-68,2025-12-02 17:19:45
Mimar sinan parkı yanı geniş ferah harika bir daire,3.550.000 TL,Manisa,Turgutlu,Selvilitepe Mah.,Manisa / Turgutlu / Selvilitepe Mah.,3 + 1,145,1,3. Kat,17 Yaşında,Kombi,Yok,Var,Var,İkinci El,Boş,Kat İrtifakı,"Güney, Batı",etin,1 TL,...,Hayır,Haritası,Hatırlatmaları,-,Satılık,131579-6,28-11-2025,https://www.hepsiemlak.com/manisa-turgutlu-selvilitepe-satilik/daire/131579-6,2025-12-02 17:20:03
"Cumhuriyet Mahallesi'nde Asansörlü, Köşe Konum 3+1 Fırsat Daire",4.600.000 TL,Manisa,Turgutlu,Cumhuriyet Mah.,Manisa / Turgutlu / Cumhuriyet Mah.,3 + 1,130,1,2. Kat,6 Yaşında,Kombi,Var,Var,Yok,-,Boş,Kat İrtifakı,-,etin,-,...,Hayır,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,164259-15,01-12-2025,https://www.hepsiemlak.com/manisa-turgutlu-cumhuriyet-satilik/daire/164259-15,2025-12-02 17:20:23
ALAŞEHİR GARANTİ EMLAKTA SATILIK 1+1,1.700.000 TL,Manisa,Alasehir,Fatih Mah.,Manisa / Alasehir / Fatih Mah.,1 + 1,47,1,2. Kat,Sıfır Bina,Kombi,Yok,Yok,Yok,-,Boş,Kat İrtifakı,-,etin,-,...,Hayır,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,155862-30,26-11-2025,https://www.hepsiemlak.com/manisa-alasehir-fatih-satilik/daire/155862-30,2025-12-02 17:20:42
GÜZEL KONUMDA KALİTELİ İŞÇİLİK 2+1 GENİŞ SATILIK SIFIR DAİRE,3.100.000 TL,Manisa,Turgutlu,Mustafa Mah.,Manisa / Turgutlu / Mustafa Mah.,2 + 1,107,1,2. Kat,Sıfır Bina,Kombi,Yok,Var,Var,-,Boş,Kat İrtifakı,"Güney, Doğu",etin,-,...,Evet,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,164247-13,27-11-2025,https://www.hepsiemlak.com/manisa-turgutlu-mustafa-kemal-satilik/daire/164247-13,2025-12-02 17:21:05
MANİSA GÜZELYURT ÖZGE SİTESİNDE SATILIK TRİPLEKS VİLLA,15.500.000 TL,Manisa,Yunusemre,Guzelyurt Mah.,Manisa / Yunusemre / Guzelyurt Mah.,4 + 1,270,3,-,25 Yaşında,Kombi,Yok,Yok,Var,İkinci El,Kiracılı,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı",etin,-,...,Hayır,İçerisinde,Hatırlatmaları,Eşyalı Değil,Satılık,94966-814,01-12-2025,https://www.hepsiemlak.com/manisa-yunusemre-guzelyurt-satilik/villa/94966-814,2025-12-02 17:21:24
