Ilce,M2,Banyo,Bina_Yasi,Balkon,Asansor,Garaj,Tapu Durumu,Takas,Eşya Durumu,Fiyat,oda_sayisi,salon_sayisi,Kat,Isinma,yapi_durumu,Kullanim_Boş,Kullanim_Kiracılı,Kullanim_Mülk Sahibi
Alasehir,120,1,7,1,1,0,Kat İrtifakı,-,Eşyalı Değil,3500000.0,3,1,3.0,2,0,1,0,0
Turgutlu,85,1,31,0,0,0,Kat Mülkiyeti,Hayır,Eşyalı Değil,2150000.0,2,1,4.0,0,0,1,0,0
Akhisar,165,1,21,0,0,0,Kat Mülkiyeti,Hayır,Eşyalı Değil,3850000.0,3,1,1.0,3,0,1,0,0
Akhisar,150,1,6,0,1,0,Kat İrtifakı,Hayır,Eşyalı Değil,3500000.0,3,1,3.0,3,0,1,0,0
Yunusemre,110,1,5,1,1,0,Kat Mülkiyeti,Evet,Eşyalı Değil,3500000.0,2,1,0.5,3,0,1,0,0
Turgutlu,145,1,17,0,1,1,Kat İrtifakı,Hayır,-,3550000.0,3,1,3.0,3,0,1,0,0
Turgutlu,130,1,6,1,1,0,Kat İrtifakı,Hayır,Eşyalı Değil,4600000.0,3,1,2.0,3,0,1,0,0
Alasehir,47,1,0,0,0,0,Kat İrtifakı,Hayır,Eşyalı Değil,1700000.0,1,1,2.0,3,0,1,0,0
Turgutlu,107,1,0,0,1,1,Kat İrtifakı,Evet,Eşyalı Değil,3100000.0,2,1,2.0,3,0,1,0,0
Yunusemre,270,3,25,0,0,1,Kat İrtifakı,Hayır,Eşyalı Değil,15500000.0,4,1,3.0,3,0,0,1,0
Yunusemre,130,1,4,0,0,1,Müstakil Tapulu,Evet,Eşyalı Değil,4200000.0,4,1,0.0,1,0,0,0,1
Akhisar,120,1,15,0,0,0,Kat İrtifakı,Hayır,Eşyalı Değil,2400000.0,2,1,1.0,3,0,0,0,1
Sehzadeler,130,1,16,1,1,0,Kat Mülkiyeti,Evet,Eşyalı Değil,4750000.0,3,1,2.0,3,0,1,0,0
Sehzadeler,135,1,21,0,0,0,Kat İrtifakı,Evet,Eşyalı Değil,3295000.0,3,1,2.0,3,0,1,0,0
Sehzadeler,110,1,16,1,1,1,Müstakil Tapulu,Hayır,Eşyalı Değil,3375000.0,2,1,4.0,3,0,1,0,0
Alasehir,145,2,0,0,0,0,Müstakil Tapulu,Hayır,Eşyalı Değil,3200000.0,3,1,3.0,3,0,1,0,0
Kirkagac,115,1,28,0,0,1,Müstakil Tapulu,-,-,2075000.0,3,1,3.0,3,0,1,0,0
Sehzadeler,105,1,11,0,0,0,Kat İrtifakı,Evet,Eşyalı,3490000.0,2,1,1.0,3,0,1,0,0
Yunusemre,90,1,5,1,1,1,Kat Mülkiyeti,Hayır,Eşyalı Değil,3695000.0,2,1,3.0,3,2,0,0,1
Yunusemre,130,1,30,0,0,1,Kat İrtifakı,Evet,Eşyalı Değil,3700000.0,3,1,4.0,3,0,1,0,0
Sehzadeler,300,1,1,0,1,0,Kat İrtifakı,Evet,Eşyalı Değil,4650000.0,2,1,1.0,3,0,0,0,1
Kirkagac,115,1,21,0,0,0,Kat Mülkiyeti,Evet,Eşyalı Değil,1190000.0,2,1,4.0,3,0,1,0,0
Sehzadeler,115,1,26,0,1,1,Müstakil Tapulu,Hayır,Eşyalı Değil,3875000.0,3,1,3.0,3,0,1,0,0
Kirkagac,100,1,50,0,0,0,Müstakil Tapulu,Hayır,Eşyalı,3500000.0,2,1,3.0,1,0,0,0,1
Turgutlu,370,3,6,0,0,0,Müstakil Tapulu,Hayır,Eşyalı,24990000.0,6,1,0.0,3,0,0,0,1
Turgutlu,85,1,5,1,1,1,Kat İrtifakı,Hayır,Eşyalı Değil,2750000.0,2,1,3.0,3,0,0,1,0
Yunusemre,80,1,4,1,1,0,Kat Mülkiyeti,Evet,Eşyalı Değil,3100000.0,2,1,2.0,3,0,0,1,0
Ahmetli,80,1,5,0,0,0,Kat Mülkiyeti,Hayır,Eşyalı Değil,1150000.0,1,1,2.0,3,0,1,0,0
Sehzadeler,120,1,25,1,1,0,Kat İrtifakı,Hayır,Eşyalı Değil,3550000.0,3,1,3.0,3,0,1,0,0
Sehzadeler,120,1,21,0,1,0,Kat Mülkiyeti,Evet,-,3975000.0,3,1,0.0,3,0,1,0,0
Turgutlu,120,1,26,0,0,0,Kat Mülkiyeti,Evet,Eşyalı Değil,1595000.0,3,1,2.0,0,0,1,0,0
Sehzadeler,120,1,25,1,1,1,Kat Mülkiyeti,Hayır,Eşyalı Değil,3950000.0,3,1,3.0,3,0,1,0,0
Sehzadeler,130,1,21,0,1,1,Kat İrtifakı,Evet,Eşyalı Değil,3495000.0,3,1,4.0,3,0,1,0,0
Akhisar,73,1,31,0,0,0,Müstakil Tapulu,Hayır,Eşyalı Değil,565000.0,1,1,0.0,0,0,1,0,0
Akhisar,91,1,40,0,0,0,Müstakil Tapulu,Hayır,Eşyalı Değil,1725000.0,3,1,3.0,1,0,0,1,0
Turgutlu,115,1,1,0,0,0,Kat Mülkiyeti,Hayır,Eşyalı Değil,2680000.0,3,1,3.0,3,0,0,0,1
Yunusemre,160,2,16,1,1,1,Kat İrtifakı,Evet,Eşyalı Değil,7100000.0,4,1,5.0,3,0,0,1,0
Salihli,125,1,18,0,0,0,Kat Mülkiyeti,-,Eşyalı Değil,3400000.0,3,1,0.5,3,0,1,0,0
Saruhanli,50,1,1,0,0,0,Müstakil Tapulu,-,-,2700000.0,1,1,0.5,0,0,1,0,0
Akhisar,34,1,10,0,0,0,Arsa,-,Eşyalı Değil,750000.0,1,1,3.0,1,0,1,0,0
Yunusemre,125,1,26,0,0,0,Kat İrtifakı,Evet,-,2950000.0,3,1,5.0,3,0,0,0,1
Sehzadeler,135,1,26,1,1,0,Kat Mülkiyeti,-,Eşyalı Değil,4650000.0,3,1,4.0,3,0,1,0,0
Turgutlu,90,1,6,0,1,1,Kat İrtifakı,Hayır,Eşyalı Değil,2475000.0,2,1,1.0,3,0,1,0,0
Yunusemre,130,1,8,0,1,1,Kat İrtifakı,Hayır,Eşyalı Değil,3950000.0,3,1,2.0,3,0,1,0,0
Salihli,345,1,15,0,0,0,Kat Mülkiyeti,-,Eşyalı Değil,2000000.0,2,1,3.0,1,0,0,0,1
Yunusemre,70,1,0,0,0,0,Kat İrtifakı,Hayır,Eşyalı,2340000.0,1,1,3.0,3,0,1,0,0
Sehzadeler,130,1,0,0,0,0,Müstakil Tapulu,Evet,Eşyalı Değil,3290000.0,2,1,3.0,1,2,0,0,1
Yunusemre,430,1,25,0,0,0,Müstakil Tapulu,Hayır,Eşyalı Değil,3500000.0,3,1,3.0,1,0,1,0,0
Sehzadeler,85,1,25,0,0,0,Kat İrtifakı,Evet,Eşyalı,2950000.0,2,1,0.5,1,0,0,1,0
Akhisar,140,1,26,0,1,0,Kat Mülkiyeti,-,Eşyalı Değil,2100000.0,3,1,1.0,1,0,1,0,0
Sehzadeler,105,1,25,1,0,0,Kat İrtifakı,Evet,Eşyalı Değil,2950000.0,3,1,5.0,3,0,0,0,1
Yunusemre,225,2,16,0,1,0,Kat İrtifakı,Hayır,Eşyalı Değil,8850000.0,4,1,4.0,3,0,0,0,1
Akhisar,90,1,21,0,0,0,Kat İrtifakı,Hayır,Eşyalı Değil,1700000.0,2,1,2.0,3,0,0,1,0
Salihli,145,2,1,0,1,1,Kat Mülkiyeti,Hayır,Eşyalı Değil,2850000.0,2,1,4.0,3,0,0,0,1
Turgutlu,115,1,25,1,0,0,Kat Mülkiyeti,Hayır,Eşyalı Değil,2950000.0,2,1,3.0,3,0,1,0,0
Yunusemre,100,1,29,1,1,1,Kat İrtifakı,Hayır,Eşyalı Değil,2850000.0,3,1,5.0,3,0,1,0,0
Akhisar,100,1,0,0,0,1,Kat İrtifakı,Hayır,Eşyalı Değil,2500000.0,2,1,3.0,3,0,1,0,0
Yunusemre,135,1,11,0,1,0,Kat İrtifakı,Hayır,Eşyalı Değil,4850000.0,3,1,4.0,3,0,0,0,1
Alasehir,150,1,15,0,0,1,Kat İrtifakı,Hayır,Eşyalı Değil,3000000.0,3,1,5.0,3,0,0,0,1
Yunusemre,160,2,1,1,1,1,Kat İrtifakı,Evet,Eşyalı Değil,7950000.0,3,1,0.5,3,0,0,1,0
Turgutlu,100,1,25,1,0,0,Kat Mülkiyeti,-,Eşyalı Değil,2300000.0,2,1,3.0,3,0,1,0,0
Saruhanli,101,1,0,0,0,0,Kat İrtifakı,Evet,Eşyalı Değil,2300000.0,2,1,3.0,3,2,1,0,0
Sehzadeler,105,2,2,1,0,1,Kat İrtifakı,Evet,Eşyalı Değil,4150000.0,2,1,0.5,3,0,1,0,0
Yunusemre,65,1,0,0,0,1,Kat İrtifakı,Hayır,Eşyalı Değil,2450000.0,1,1,4.0,3,0,1,0,0
Yunusemre,140,1,30,1,1,1,Müstakil Tapulu,Hayır,Eşyalı Değil,3950000.0,3,1,0.0,3,0,0,1,0
Soma,95,1,5,0,0,1,Kat İrtifakı,-,-,2650000.0,2,1,3.0,2,0,0,0,1
Sehzadeler,498,1,49,0,0,1,Arsa,Hayır,Eşyalı Değil,3950000.0,4,1,3.0,1,0,1,0,0
Akhisar,90,1,31,0,1,0,Kat İrtifakı,Evet,Eşyalı Değil,2550000.0,2,1,1.0,3,0,0,0,1
Yunusemre,120,1,21,0,1,1,Kat Mülkiyeti,Hayır,Eşyalı Değil,4250000.0,3,1,6.0,3,0,0,0,1
Yunusemre,60,1,1,0,0,1,Kat Mülkiyeti,Hayır,Eşyalı Değil,3150000.0,1,1,2.0,3,0,1,0,0
Sehzadeler,100,1,26,1,0,0,Kat Mülkiyeti,Hayır,Eşyalı Değil,2650000.0,2,1,4.0,3,0,1,0,0
Turgutlu,209,1,11,0,0,0,Müstakil Tapulu,Hayır,Eşyalı Değil,6750000.0,3,1,0.0,1,0,0,0,1
Sehzadeler,115,1,35,1,1,1,Kat Mülkiyeti,Hayır,Eşyalı Değil,3200000.0,3,1,3.0,3,0,1,0,0
Salihli,52,1,6,1,1,0,Kat Mülkiyeti,Hayır,Eşyalı Değil,2100000.0,1,1,5.0,1,0,0,1,0
Akhisar,110,1,0,1,1,1,Kat İrtifakı,Hayır,Eşyalı Değil,3150000.0,2,1,5.0,3,2,1,0,0
Yunusemre,120,1,15,1,1,0,Kat İrtifakı,Hayır,Eşyalı,6250000.0,2,1,-3.0,3,0,1,0,0
Turgutlu,130,2,1,0,1,1,Kat Mülkiyeti,Evet,Eşyalı Değil,2550000.0,2,1,0.5,1,0,1,0,0
Gordes,110,1,30,0,0,0,Müstakil Tapulu,Hayır,-,4000000.0,3,0,0.0,1,0,1,0,0
Turgutlu,342,1,27,0,0,1,Kat İrtifakı,Hayır,Eşyalı Değil,16000000.0,4,1,3.0,3,0,1,0,0
Salihli,150,1,25,1,1,1,Kat Mülkiyeti,Hayır,Eşyalı Değil,3480000.0,3,1,8.0,1,0,1,0,0
Turgutlu,110,1,20,0,0,0,Kat İrtifakı,Hayır,Eşyalı Değil,2600000.0,2,1,5.0,3,0,0,1,0
Sehzadeler,90,1,35,0,1,0,Kat İrtifakı,Hayır,Eşyalı Değil,3500000.0,2,1,2.0,3,0,0,1,0
Sehzadeler,70,1,30,0,0,0,Kat İrtifakı,Evet,Eşyalı,2650000.0,2,1,0.0,3,0,0,1,0
Sehzadeler,150,1,31,0,0,0,Kat İrtifakı,Hayır,Eşyalı Değil,2200000.0,3,1,5.0,1,0,0,1,0
Yunusemre,115,1,3,0,1,1,Kat İrtifakı,Hayır,Eşyalı Değil,3450000.0,2,1,3.0,3,0,0,0,1
