Ilce,M2,Banyo,Bina_Yasi,Balkon,Asansor,Garaj,Takas,Eşya Durumu,Fiyat,oda_sayisi,salon_sayisi,Kat,Isinma,yapi_durumu,Kullanim_Boş,Kullanim_Kiracılı,Kullanim_Mülk Sahibi,tapu_durumu
Alasehir,120,1,7,1,1,0,0,0,3500000.0,3,1,3.0,2,0,1,0,0,1
Turgutlu,85,1,31,0,0,0,0,0,2150000.0,2,1,4.0,0,0,1,0,0,2
Akhisar,165,1,21,0,0,0,0,0,3850000.0,3,1,1.0,3,0,1,0,0,2
Akhisar,150,1,6,0,1,0,0,0,3500000.0,3,1,3.0,3,0,1,0,0,1
Yunusemre,110,1,5,1,1,0,1,0,3500000.0,2,1,0.5,3,0,1,0,0,2
Turgutlu,145,1,17,0,1,1,0,0,3550000.0,3,1,3.0,3,0,1,0,0,1
Turgutlu,130,1,6,1,1,0,0,0,4600000.0,3,1,2.0,3,0,1,0,0,1
Alasehir,47,1,0,0,0,0,0,0,1700000.0,1,1,2.0,3,0,1,0,0,1
Turgutlu,107,1,0,0,1,1,1,0,3100000.0,2,1,2.0,3,0,1,0,0,1
Yunusemre,270,3,25,0,0,1,0,0,15500000.0,4,1,3.0,3,0,0,1,0,1
Yunusemre,130,1,4,0,0,1,1,0,4200000.0,4,1,0.0,1,0,0,0,1,2
Akhisar,120,1,15,0,0,0,0,0,2400000.0,2,1,1.0,3,0,0,0,1,1
Sehzadeler,130,1,16,1,1,0,1,0,4750000.0,3,1,2.0,3,0,1,0,0,2
Sehzadeler,135,1,21,0,0,0,1,0,3295000.0,3,1,2.0,3,0,1,0,0,1
Sehzadeler,110,1,16,1,1,1,0,0,3375000.0,2,1,4.0,3,0,1,0,0,2
Alasehir,145,2,0,0,0,0,0,0,3200000.0,3,1,3.0,3,0,1,0,0,2
Kirkagac,115,1,28,0,0,1,0,0,2075000.0,3,1,3.0,3,0,1,0,0,2
Sehzadeler,105,1,11,0,0,0,1,1,3490000.0,2,1,1.0,3,0,1,0,0,1
Yunusemre,90,1,5,1,1,1,0,0,3695000.0,2,1,3.0,3,2,0,0,1,2
Yunusemre,130,1,30,0,0,1,1,0,3700000.0,3,1,4.0,3,0,1,0,0,1
Sehzadeler,300,1,1,0,1,0,1,0,4650000.0,2,1,1.0,3,0,0,0,1,1
Kirkagac,115,1,21,0,0,0,1,0,1190000.0,2,1,4.0,3,0,1,0,0,2
Sehzadeler,115,1,26,0,1,1,0,0,3875000.0,3,1,3.0,3,0,1,0,0,2
Kirkagac,100,1,50,0,0,0,0,1,3500000.0,2,1,3.0,1,0,0,0,1,2
Turgutlu,370,3,6,0,0,0,0,1,24990000.0,6,1,0.0,3,0,0,0,1,2
Turgutlu,85,1,5,1,1,1,0,0,2750000.0,2,1,3.0,3,0,0,1,0,1
Yunusemre,80,1,4,1,1,0,1,0,3100000.0,2,1,2.0,3,0,0,1,0,2
Ahmetli,80,1,5,0,0,0,0,0,1150000.0,1,1,2.0,3,0,1,0,0,2
Sehzadeler,120,1,25,1,1,0,0,0,3550000.0,3,1,3.0,3,0,1,0,0,1
Sehzadeler,120,1,21,0,1,0,1,0,3975000.0,3,1,0.0,3,0,1,0,0,2
Turgutlu,120,1,26,0,0,0,1,0,1595000.0,3,1,2.0,0,0,1,0,0,2
Sehzadeler,120,1,25,1,1,1,0,0,3950000.0,3,1,3.0,3,0,1,0,0,2
Sehzadeler,130,1,21,0,1,1,1,0,3495000.0,3,1,4.0,3,0,1,0,0,1
Akhisar,73,1,31,0,0,0,0,0,565000.0,1,1,0.0,0,0,1,0,0,2
Akhisar,91,1,40,0,0,0,0,0,1725000.0,3,1,3.0,1,0,0,1,0,2
Turgutlu,115,1,1,0,0,0,0,0,2680000.0,3,1,3.0,3,0,0,0,1,2
Yunusemre,160,2,16,1,1,1,1,0,7100000.0,4,1,5.0,3,0,0,1,0,1
Salihli,125,1,18,0,0,0,0,0,3400000.0,3,1,0.5,3,0,1,0,0,2
Saruhanli,50,1,1,0,0,0,0,0,2700000.0,1,1,0.5,0,0,1,0,0,2
Akhisar,34,1,10,0,0,0,0,0,750000.0,1,1,3.0,1,0,1,0,0,0
Yunusemre,125,1,26,0,0,0,1,0,2950000.0,3,1,5.0,3,0,0,0,1,1
Sehzadeler,135,1,26,1,1,0,0,0,4650000.0,3,1,4.0,3,0,1,0,0,2
Turgutlu,90,1,6,0,1,1,0,0,2475000.0,2,1,1.0,3,0,1,0,0,1
Yunusemre,130,1,8,0,1,1,0,0,3950000.0,3,1,2.0,3,0,1,0,0,1
Salihli,345,1,15,0,0,0,0,0,2000000.0,2,1,3.0,1,0,0,0,1,2
Yunusemre,70,1,0,0,0,0,0,1,2340000.0,1,1,3.0,3,0,1,0,0,1
Sehzadeler,130,1,0,0,0,0,1,0,3290000.0,2,1,3.0,1,2,0,0,1,2
Yunusemre,430,1,25,0,0,0,0,0,3500000.0,3,1,3.0,1,0,1,0,0,2
Sehzadeler,85,1,25,0,0,0,1,1,2950000.0,2,1,0.5,1,0,0,1,0,1
Akhisar,140,1,26,0,1,0,0,0,2100000.0,3,1,1.0,1,0,1,0,0,2
Sehzadeler,105,1,25,1,0,0,1,0,2950000.0,3,1,5.0,3,0,0,0,1,1
Yunusemre,225,2,16,0,1,0,0,0,8850000.0,4,1,4.0,3,0,0,0,1,1
Akhisar,90,1,21,0,0,0,0,0,1700000.0,2,1,2.0,3,0,0,1,0,1
Salihli,145,2,1,0,1,1,0,0,2850000.0,2,1,4.0,3,0,0,0,1,2
