Fiyat,Ilce,Oda,M2,Banyo,Kat,Bina_Yasi,Isinma,Balkon,Asansor,Garaj,Yapı Durumu,Kullanım Durumu,Tapu Durumu,Takas,Eşya Durumu
3.500.000 TL,Alasehir,3 + 1,120,1,3. Kat,7 Yaşında,Merkezi,Var,Var,Yok,İkinci El,Boş,Kat İrtifakı,-,Eşyalı Değil
2.150.000 TL,Turgutlu,2 + 1,85,1,4. Kat,31 Yaşında,Isıtma Yok,Yok,Yok,Yok,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil
3.850.000 TL,Akhisar,3 + 1,165,1,1. Kat,21 Yaşında,Kombi,Yok,Yok,Yok,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil
3.500.000 TL,Akhisar,3 + 1,150,1,3. Kat,6 Yaşında,Kombi,Yok,Var,Yok,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil
3.500.000 TL,Yunusemre,2 + 1,110,1,Yüksek Giriş,5 Yaşında,Kombi,Var,Var,Yok,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil
3.550.000 TL,Turgutlu,3 + 1,145,1,3. Kat,17 Yaşında,Kombi,Yok,Var,Var,İkinci El,Boş,Kat İrtifakı,Hayır,-
4.600.000 TL,Turgutlu,3 + 1,130,1,2. Kat,6 Yaşında,Kombi,Var,Var,Yok,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil
1.700.000 TL,Alasehir,1 + 1,47,1,2. Kat,Sıfır Bina,Kombi,Yok,Yok,Yok,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil
3.100.000 TL,Turgutlu,2 + 1,107,1,2. Kat,Sıfır Bina,Kombi,Yok,Var,Var,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil
15.500.000 TL,Yunusemre,4 + 1,270,3,-,25 Yaşında,Kombi,Yok,Yok,Var,İkinci El,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil
4.200.000 TL,Yunusemre,4 + 1,130,1,Bahçe Katı,4 Yaşında,Soba,Yok,Yok,Var,-,Mülk Sahibi,Müstakil Tapulu,Evet,Eşyalı Değil
2.400.000 TL,Akhisar,2 + 1,120,1,1. Kat,15 Yaşında,Kombi,Yok,Yok,Yok,İkinci El,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil
4.750.000 TL,Sehzadeler,3 + 1,130,1,2. Kat,16 Yaşında,Kombi,Var,Var,Yok,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil
3.295.000 TL,Sehzadeler,3 + 1,135,1,2. Kat,21 Yaşında,Kombi,Yok,Yok,Yok,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil
3.375.000 TL,Sehzadeler,2 + 1,110,1,4. Kat,16 Yaşında,Kombi,Var,Var,Var,-,Boş,Müstakil Tapulu,Hayır,Eşyalı Değil
3.200.000 TL,Alasehir,3 + 1,145,2,3. Kat,Sıfır Bina,Kombi,Yok,Yok,Yok,-,Boş,Müstakil Tapulu,Hayır,Eşyalı Değil
2.075.000 TL,Kirkagac,3 + 1,115,1,Ara Kat,28 Yaşında,Kombi,Yok,Yok,Var,-,-,Müstakil Tapulu,-,-
3.490.000 TL,Sehzadeler,2 + 1,105,1,1. Kat,11 Yaşında,Kombi,Yok,Yok,Yok,-,Boş,Kat İrtifakı,Evet,Eşyalı
3.695.000 TL,Yunusemre,2 + 1,90,1,Ara Kat,5 Yaşında,Kombi,Var,Var,Var,Sıfır,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil
3.700.000 TL,Yunusemre,3 + 1,130,1,4. Kat,30 Yaşında,Kombi,Yok,Yok,Var,İkinci El,-,Kat İrtifakı,Evet,Eşyalı Değil
4.650.000 TL,Sehzadeler,2 + 1,300,1,Villa Katı,1 Yaşında,Yerden Isıtma,Yok,Var,Yok,-,Mülk Sahibi,Kat İrtifakı,Evet,Eşyalı Değil
1.190.000 TL,Kirkagac,2 + 1,115,1,4. Kat,21 Yaşında,Kombi,Yok,Yok,Yok,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil
3.875.000 TL,Sehzadeler,3 + 1,115,1,3. Kat,26 Yaşında,Kombi,Yok,Var,Var,-,Boş,Müstakil Tapulu,Hayır,Eşyalı Değil
3.500.000 TL,Kirkagac,2 + 1,100,1,-,50 Yaşında,Soba,Yok,Yok,Yok,İkinci El,Mülk Sahibi,Müstakil Tapulu,Hayır,Eşyalı
24.990.000 TL,Turgutlu,6 + 1,370,3,Bahçe Katı,6 Yaşında,Yerden Isıtma,Yok,Yok,Yok,-,Mülk Sahibi,Müstakil Tapulu,Hayır,Eşyalı
