Ilce,M2,Banyo,Kat,Bina_Yasi,Isinma,Balkon,Asansor,Garaj,Yapı Durumu,Kullanım Durumu,Tapu Durumu,Takas,Eşya Durumu,Fiyat,oda_sayisi,salon_sayisi
Alasehir,120,1,3. Kat,7 Yaşında,Merkezi,Var,Var,Yok,İkinci El,Boş,Kat İrtifakı,-,Eşyalı Değil,3500000.0,3,1
Turgutlu,85,1,4. Kat,31 Yaşında,Isıtma Yok,Yok,Yok,Yok,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,2150000.0,2,1
Akhisar,165,1,1. Kat,21 Yaşında,Kombi,Yok,Yok,Yok,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3850000.0,3,1
Akhisar,150,1,3. Kat,6 Yaşında,Kombi,Yok,Var,Yok,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3500000.0,3,1
Yunusemre,110,1,Yüksek Giriş,5 Yaşında,Kombi,Var,Var,Yok,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,3500000.0,2,1
Turgutlu,145,1,3. Kat,17 Yaşında,Kombi,Yok,Var,Var,İkinci El,Boş,Kat İrtifakı,Hayır,-,3550000.0,3,1
Turgutlu,130,1,2. Kat,6 Yaşında,Kombi,Var,Var,Yok,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,4600000.0,3,1
Alasehir,47,1,2. Kat,Sıfır Bina,Kombi,Yok,Yok,Yok,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,1700000.0,1,1
Turgutlu,107,1,2. Kat,Sıfır Bina,Kombi,Yok,Var,Var,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,3100000.0,2,1
Yunusemre,270,3,-,25 Yaşında,Kombi,Yok,Yok,Var,İkinci El,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,15500000.0,4,1
Yunusemre,130,1,Bahçe Katı,4 Yaşında,Soba,Yok,Yok,Var,-,Mülk Sahibi,Müstakil Tapulu,Evet,Eşyalı Değil,4200000.0,4,1
Akhisar,120,1,1. Kat,15 Yaşında,Kombi,Yok,Yok,Yok,İkinci El,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,2400000.0,2,1
Sehzadeler,130,1,2. Kat,16 Yaşında,Kombi,Var,Var,Yok,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,4750000.0,3,1
Sehzadeler,135,1,2. Kat,21 Yaşında,Kombi,Yok,Yok,Yok,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,3295000.0,3,1
Sehzadeler,110,1,4. Kat,16 Yaşında,Kombi,Var,Var,Var,-,Boş,Müstakil Tapulu,Hayır,Eşyalı Değil,3375000.0,2,1
Alasehir,145,2,3. Kat,Sıfır Bina,Kombi,Yok,Yok,Yok,-,Boş,Müstakil Tapulu,Hayır,Eşyalı Değil,3200000.0,3,1
Kirkagac,115,1,Ara Kat,28 Yaşında,Kombi,Yok,Yok,Var,-,-,Müstakil Tapulu,-,-,2075000.0,3,1
Sehzadeler,105,1,1. Kat,11 Yaşında,Kombi,Yok,Yok,Yok,-,Boş,Kat İrtifakı,Evet,Eşyalı,3490000.0,2,1
Yunusemre,90,1,Ara Kat,5 Yaşında,Kombi,Var,Var,Var,Sıfır,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,3695000.0,2,1
Yunusemre,130,1,4. Kat,30 Yaşında,Kombi,Yok,Yok,Var,İkinci El,-,Kat İrtifakı,Evet,Eşyalı Değil,3700000.0,3,1
