Ilce,M2,Banyo,Bina_Yasi,Isinma,Balkon,Asansor,Garaj,Yapı Durumu,Kullanım Durumu,Tapu Durumu,Takas,Eşya Durumu,Fiyat,oda_sayisi,salon_sayisi,Kat
Alasehir,120,1,7,Merkezi,1,1,0,İkinci El,Boş,Kat İrtifakı,-,Eşyalı Değil,3500000.0,3,1,3.0
Turgutlu,85,1,31,Isıtma Yok,0,0,0,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,2150000.0,2,1,4.0
Akhisar,165,1,21,Kombi,0,0,0,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3850000.0,3,1,1.0
Akhisar,150,1,6,Kombi,0,1,0,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3500000.0,3,1,3.0
Yunusemre,110,1,5,Kombi,1,1,0,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,3500000.0,2,1,0.5
Turgutlu,145,1,17,Kombi,0,1,1,İkinci El,Boş,Kat İrtifakı,Hayır,-,3550000.0,3,1,3.0
Turgutlu,130,1,6,Kombi,1,1,0,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,4600000.0,3,1,2.0
Alasehir,47,1,0,Kombi,0,0,0,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,1700000.0,1,1,2.0
Turgutlu,107,1,0,Kombi,0,1,1,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,3100000.0,2,1,2.0
Yunusemre,270,3,25,Kombi,0,0,1,İkinci El,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,15500000.0,4,1,3.0
Yunusemre,130,1,4,Soba,0,0,1,-,Mülk Sahibi,Müstakil Tapulu,Evet,Eşyalı Değil,4200000.0,4,1,0.0
Akhisar,120,1,15,Kombi,0,0,0,İkinci El,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,2400000.0,2,1,1.0
Sehzadeler,130,1,16,Kombi,1,1,0,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,4750000.0,3,1,2.0
Sehzadeler,135,1,21,Kombi,0,0,0,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,3295000.0,3,1,2.0
Sehzadeler,110,1,16,Kombi,1,1,1,-,Boş,Müstakil Tapulu,Hayır,Eşyalı Değil,3375000.0,2,1,4.0
Alasehir,145,2,0,Kombi,0,0,0,-,Boş,Müstakil Tapulu,Hayır,Eşyalı Değil,3200000.0,3,1,3.0
Kirkagac,115,1,28,Kombi,0,0,1,-,-,Müstakil Tapulu,-,-,2075000.0,3,1,3.0
Sehzadeler,105,1,11,Kombi,0,0,0,-,Boş,Kat İrtifakı,Evet,Eşyalı,3490000.0,2,1,1.0
Yunusemre,90,1,5,Kombi,1,1,1,Sıfır,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,3695000.0,2,1,3.0
